id,name,year,rank
41467,"Bloody Season",1981,NULL
41468,"Bloody Shenandoah",1991,NULL
41469,"Bloody Streetz",2003,NULL
41470,"Bloody Struggle",1976,NULL
41471,"Bloody Sunday",2002,7.6
41472,"Bloody Sunday: History Retold",2003,NULL
41473,"Bloody Tease",2004,NULL
41475,"Bloody Wednesday",1985,2.8
41476,Bloom,1991,NULL
41477,Bloom,2000,NULL
41478,Bloom,2003,5.5
41479,Bloomfield,1971,4
41480,"Blooming Angel, The",1920,NULL
41481,"Blooming Under a Cold Moon, Part I",1960,NULL
41482,"Blooming Under a Cold Moon, Part II",1960,NULL
41483,"Blooms of Banjeli, The",2000,NULL
41486,"Bloopers and Boners",1996,NULL
41488,"Bloor Witch Project",1999,NULL
41489,"Bloqueio, O",2002,NULL
41490,"Blore M.P.",1989,NULL
41491,"Bloski smucarji",1932,NULL
41492,Bloso,1982,NULL
41493,Blossi/810551,1997,3.9
41494,Blossom,1990,NULL
41495,"Blossom and the Sword, The",1973,NULL
41497,"Blossom Seeley and Bennie Fields",1929,6
41498,"Blossom Time",1934,6.4
41499,"Blossom Time",1996,3.4
41500,"Blossoms & Blood",2003,NULL
41501,"Blossoms and Veils",1997,NULL
41502,"Blossoms In the Dust",1941,6.5
41503,"Blossoms of Fire",2000,NULL
41504,"Blossoms on Broadway",1937,NULL
41505,"Blot on the 'Scutcheon, A",1912,NULL
41506,"Blot on the Shield, The",1915,NULL
41507,"Blot, The",1921,5.5
41508,"Blott en drm",1911,NULL
41509,"Blotted Brand, The",1911,NULL
41510,"Blotted Page, A",1914,NULL
41511,Blotter,2004,NULL
41512,"Blotters and Papers",1916,NULL
41513,Blotto,1930,7.7
41514,Bloudeni,1965,NULL
41515,"Blouden orientacnho bezce",1985,NULL
41516,"Blouson vert, Le",1998,NULL
41517,"Blow 'Em Up",1922,NULL
41518,Blow,2001,7.1
41519,Blow,2002,NULL
41525,"Blow Bang 9",2001,NULL
41526,"Blow Bi Blow",1990,NULL
41527,"Blow by Blow",1928,NULL
41528,"Blow by Blow",1984,NULL
41530,"Blow Dry",2001,6.1
41531,"Blow for Blow",1915,NULL
41533,"Blow Hard",1995,NULL
41534,"Blow Job",1963,5.8
41535,"Blow Job",1979,NULL
41537,"Blow Job",2002,9.9
41538,"Blow Job Ahoi",1995,NULL
41543,"Blow Job, The",1976,NULL
41544,"Blow Me",1998,NULL
41545,"Blow Me Bitch",2000,NULL
41546,"Blow Me Down",1995,NULL
41547,"Blow Me Down!",1933,6.4
41552,"Blow Out",1981,7
41554,"Blow Out, The",1924,NULL
41555,"Blow Out, The",1936,7.6
41557,"Blow the Boat: Isle of MTV Summer Launch",1999,NULL
41559,"Blow Your Own Horn",1923,NULL
41560,"Blow Your Own Trumpet",1958,NULL
41561,Blow-Up,2000,NULL
41562,Blowback,1991,8.7
41563,Blowback,2000,4.2
41564,"Blowback 2",1991,NULL
41565,Blowfish,1997,NULL
41566,Blowhard,1978,NULL
41567,"Blowin' In the Wind",1993,NULL
41568,"Blowin' Me Up",2002,NULL
41570,"Blowing Hot and Cold",1989,NULL
41572,"Blowing It",2002,5.1
41573,"Blowing the Whistle",2003,NULL
41574,"Blowing Wild",1953,5.3
41575,"Blowing Your Mind",1984,NULL
41578,"Blowjob Adventures of Dr. Fellatio 11",1998,NULL
41579,"Blowjob Adventures of Dr. Fellatio 12",1998,NULL
41580,"Blowjob Adventures of Dr. Fellatio 13",1998,NULL
41581,"Blowjob Adventures of Dr. Fellatio 14",1998,NULL
41583,"Blowjob Adventures of Dr. Fellatio 16",1999,NULL
41586,"Blowjob Adventures of Dr. Fellatio 19",1999,NULL
41587,"Blowjob Adventures of Dr. Fellatio 2",1997,NULL
41588,"Blowjob Adventures of Dr. Fellatio 20",1999,NULL
41592,"Blowjob Adventures of Dr. Fellatio 24",2000,NULL
41594,"Blowjob Adventures of Dr. Fellatio 26",2000,NULL
41595,"Blowjob Adventures of Dr. Fellatio 27",2000,NULL
41596,"Blowjob Adventures of Dr. Fellatio 28",2000,NULL
41598,"Blowjob Adventures of Dr. Fellatio 3",1997,NULL
41603,"Blowjob Adventures of Dr. Fellatio 34",2001,NULL
41604,"Blowjob Adventures of Dr. Fellatio 35",2001,NULL
41614,"Blowjob Adventures of Dr. Fellatio 6",1998,NULL
41615,"Blowjob Adventures of Dr. Fellatio 7",1998,NULL
41616,"Blowjob Adventures of Dr. Fellatio 8",1998,NULL
41620,"Blowjob Fantasies",1998,NULL
41623,"Blowjob Fantasies 12",2000,NULL
41626,"Blowjob Fantasies 15",2002,NULL
41632,"Blowjob Fantasies 3",1998,NULL
41636,"Blowjob Fantasies 7",1999,NULL
41638,"Blowjob Fantasies 9",1999,NULL
41640,"Blowjob Tour of Chicago",2000,NULL
41641,"Blowjob Tour of Los Angeles 1",1999,NULL
41642,"Blown Away",1990,NULL
41643,"Blown Away",1992,5.1
41644,"Blown Away",1994,5.8
41645,"Blown Away",1999,NULL
41647,"Blown Chance",2001,4
41648,"Blown in with the Wind",2000,NULL
41649,"Blown Into Custody",1915,NULL
41650,"Blown Out",1997,NULL
41651,"Blown Sideways Through Life",1995,NULL
41652,Blown!,2001,NULL
41654,"Blowout at Santa Barbara, A",1914,NULL
41655,"Blows and Dynamite",1924,NULL
41656,"Blows and Pillows",1972,NULL
41657,Blowup,1966,7.4
41658,"Blu cobalto",1985,NULL
41659,"Blu elettrico",1988,NULL
41660,"Blu gang vissero per sempre felici e ammazzati",1973,7.7
41661,"Blu notte",1992,NULL
41662,"Bludgeon, The",1915,NULL
41664,"Bludnyj syn",1985,1.8
41665,"Bludn duse",1926,NULL
41666,Blue,1968,4.9
41667,Blue,1992,7.8
41668,Blue,1993,6.5
41669,Blue,2001,5.9
41670,Blue,2002,NULL
41671,Blue,2003,4.8
41672,"Blue Aces Wild",1973,NULL
41673,"Blue Alien Destroyers",1995,NULL
41674,"Blue and Orange",2003,NULL
41675,"Blue and the Gray, The",1935,NULL
41682,"Blue Angel, The",1959,5
41685,"Blue Angels in Razor Sharp",1982,NULL
41687,"Blue Balloon, The",1974,NULL
41688,"Blue Bandanna, The",1919,NULL
41689,"Blue Bar - Make Someone Happy",1998,NULL
41690,"Blue Barron and His Orchestra",1952,NULL
41691,"Blue Bathroom",1979,NULL
41692,"Blue Bayou",1946,5.1
41693,"Blue Bayou",1990,NULL
41695,"Blue Belgium",1999,3
41696,"Blue Bird, The",1910,NULL
41697,"Blue Bird, The",1918,9.3
41698,"Blue Bird, The",1940,5.5
41699,"Blue Bird, The",1976,3.9
41700,"Blue Black",1926,NULL
41701,"Blue Black Permanent",1992,6.6
41703,"Blue Blazes",1922,NULL
41704,"Blue Blazes",1926,NULL
41705,"Blue Blazes",1936,5.8
41706,"Blue Blazes Rawden",1918,NULL
41707,"Blue Blood",1918,NULL
41708,"Blue Blood",1922,NULL
41709,"Blue Blood (1925/I)",1925,NULL
41710,"Blue Blood (1925/II)",1925,NULL
41711,"Blue Blood",1951,NULL
41712,"Blue Blood",1973,4.2
41713,"Blue Blood",1988,NULL
41714,"Blue Blood and Red",1916,NULL
41715,"Blue Blood and Red",1922,NULL
41716,"Blue Blood and Yellow",1915,NULL
41717,"Blue Blood and Yellow Backs",1915,NULL
41718,"Blue Blood But Black Skin",1916,NULL
41719,"Blue Bonnet, The",1919,NULL
41720,"Blue Bottles",1928,NULL
41721,"Blue Box",1993,NULL
41722,"Blue Boy",2004,NULL
41723,"Blue Boy and Girl in Pink",2002,NULL
41724,"Blue Boy, The",1926,NULL
41725,"Blue Boy, The",1994,NULL
41726,"Blue Boy, The",1997,4
41727,"Blue Boys No. 1, The",1930,NULL
41728,"Blue Boys No. 2, The",1930,NULL
41729,"Blue Butterfly, The",2004,5.5
41731,"Blue Canadian Rockies",1952,6.2
41732,"Blue Candles",1935,NULL
41733,"Blue Car",2002,7
41734,"Blue Carbuncle, The",1923,NULL
41735,"Blue Cat Blues",1956,5.6
41736,"Blue Caviar",2001,8.6
41737,"Blue Chicago Blues",1994,8
41738,"Blue Children of Perm Region, The",2000,NULL
41739,"Blue Chips",1994,5.6
41740,"Blue Christmas",1994,NULL
41741,"Blue Christmas",1998,NULL
41742,"Blue Christmas, A",2002,NULL
41743,"Blue Citrus Hearts",2003,7.5
41744,"Blue City",1986,3.9
41745,"Blue City",1996,6.8
41746,"Blue City Slammers",1988,NULL
41747,"Blue Collar",1978,7.4
41749,"Blue Collar Actor",2003,NULL
41750,"Blue Collar America",1982,NULL
41751,"Blue Collar Babes",1999,NULL
41752,"Blue Collar Bootie",1994,NULL
41753,"Blue Collar Comedy Tour Rides Again",2004,NULL
41754,"Blue Collar Comedy Tour: The Movie",2003,7.6
41756,"Blue Confessions",1984,NULL
41757,"Blue Crush",2002,5.7
41758,"Blue Dahlia",1997,NULL
41759,"Blue Dahlia, The",1946,7.2
41761,"Blue Danube, The",1928,NULL
41762,"Blue Danube, The",1932,NULL
41763,"Blue Danube, The",1939,7.6
41764,"Blue Days Lost",1995,NULL
41765,"Blue de Ville",1986,NULL
41766,"Blue Demon contra el poder satnico",1966,NULL
41767,"Blue Demon contra las diablicas",1968,NULL
41768,"Blue Demon contra las invasoras",1968,NULL
41769,"Blue Demon contra los cerebros infernales",1968,NULL
41770,"Blue Demon destructor de espas",1968,NULL
41771,"Blue Demon en pasaporte a la muerte",1968,NULL
41772,"Blue Denim",1959,6.7
41773,"Blue Desert",1991,5.4
41774,"Blue Devil, Blue Devil",1996,NULL
41775,"Blue Diary",1997,NULL
41776,"Blue Diner, The",2001,5.6
41777,"Blue Dog Safety Video, The",1996,NULL
41778,"Blue dolphin - l'avventura continua",1990,NULL
41779,"Blue Doors",1987,NULL
41780,"Blue Dream Lover",1985,NULL
41782,"Blue Eagle, The",1926,5.7
41784,"Blue End",2000,NULL
41785,"Blue Envelope Mystery, The",1916,NULL
41787,"Blue Eyed",1996,8.2
41788,"Blue Eyed Soul",1943,NULL
41789,"Blue Eyes (1998/I)",1998,NULL
41790,"Blue Fake",1998,NULL
41791,"Blue Falcon",1968,NULL
41792,"Blue Fin",1978,5
41794,"Blue Fire",2002,NULL
41795,"Blue Fire Lady",1977,4.9
41796,"Blue Fish",1998,4.2
41797,"Blue Flame",1993,4.5
41798,"Blue Fox, The",1921,NULL
41799,"Blue Funk",1995,NULL
41800,"Blue Gardenia, The",1953,6.8
41801,"Blue Gin",1992,NULL
41802,"Blue Girl",1999,NULL
41806,"Blue Gum Romance, A",1913,NULL
41807,"Blue Haven",2001,4.5
41808,"Blue Hawaii",1950,NULL
41809,"Blue Hawaii",1961,5.4
41810,"Blue Heart",1987,NULL
41811,"Blue Hearts of New York",1996,NULL
41812,"Blue Heat",1978,NULL
41813,"Blue Heat: The Case of the Cover Girl Murders",1997,NULL
41814,"Blue Heaven",1984,4.7
41816,"Blue Helmet",1993,NULL
41817,"Blue Hermaphrodite, The",1996,NULL
41818,"Blue Highways",2003,NULL
41819,"Blue Highways: Voices of the Other America",2002,NULL
41820,"Blue Hill Avenue",2001,6.4
41821,"Blue Hope",2002,NULL
41822,"Blue Horizon",2004,NULL
41823,"Blue Horse Mine, The",1910,NULL
41824,"Blue Hotel, The",1977,NULL
41825,"Blue Hour, The",1994,NULL
41827,"Blue Ice",1992,4.9
41828,"Blue Iguana, The",1988,3.5
41829,"Blue in the Face",1995,6.4
41830,"Blue Interview",1983,NULL
41833,"Blue jean kai petsina boufan",1982,NULL
41834,"Blue jean, Le",1984,NULL
41835,"Blue Jeans",1917,NULL
41836,"Blue jeans",1958,NULL
41837,"Blue Jeans",1975,5.1
41838,"Blue jeans",1977,NULL
41840,"Blue Job",2004,NULL
41842,"Blue Kenny",2000,NULL
41843,"Blue Knight, The",1973,NULL
41844,"Blue Knight, The",1975,NULL
41845,"Blue Knot, King of Polo",1914,NULL
41846,"Blue Lace",1986,NULL
41847,"Blue Lagoon, The",1923,NULL
41848,"Blue Lagoon, The",1949,6.2
41849,"Blue Lagoon, The",1980,4.6
41850,"Blue Lamp in a Winter Night",1985,NULL
41851,"Blue Lamp, The",1950,6.6
41852,"Blue Light, The",2004,NULL
41853,"Blue Lightning, The",1986,NULL
41854,"Blue Line",1985,6
41855,"Blue Line",1996,NULL
41856,"Blue Line Sure",1999,NULL
41857,"Blue Lizard, The",2002,7.7
41858,"Blue Love",2001,NULL
41862,"Blue Max, The",1966,6.4
41863,"Blue Men, The",1958,NULL
41864,"Blue Miss Sunday",2000,NULL
41865,"Blue Monday",1938,NULL
41866,"Blue Monday",1999,NULL
41867,"Blue Money",1975,NULL
41868,"Blue Money",1982,NULL
41869,"Blue Monkey",1987,2.6
41870,"Blue Montana Skies",1939,5.3
41871,"Blue Moon",1980,NULL
41872,"Blue Moon",1986,NULL
41873,"Blue Moon",1992,NULL
41874,"Blue Moon",1998,7.3
41875,"Blue Moon",1999,NULL
41876,"Blue Moon",2000,4.8
41877,"Blue Moon",2002,6.4
41878,"Blue Moon, The",1920,NULL
41880,"Blue Mountain",1997,NULL
41881,"Blue Mountains Mystery, The",1921,NULL
41882,"Blue Movie",1969,3.7
41883,"Blue Movie",1971,4.8
41887,"Blue Movies",1988,3.1
41888,"Blue Murder",1985,NULL
41889,"Blue Murder",2000,NULL
41890,"Blue Murder at St. Trinian's",1957,6.6
41891,"Blue Neon Night: Michael Connelly's Los Angeles",2004,NULL
41892,"Blue Note",1998,NULL
41893,"Blue Note - A Story of Modern Jazz",1997,NULL
41894,"Blue Nude",1977,NULL
41895,"Blue of the Night",1933,6.2
41896,"Blue or the Gray, The",1913,NULL
41897,"Blue or the Gray, The",1915,NULL
41898,"Blue Parrot, The",1953,NULL
41899,"Blue Pearl, The",1920,NULL
41901,"Blue Pete's Escape",1914,NULL
41902,"Blue Peter, The",1928,NULL
41903,"Blue Peter, The",1954,NULL
41904,"Blue Planet",1990,7.6
41905,"Blue Plate Symphony",1954,NULL
41906,"Blue Pullman",1960,NULL
41907,"Blue Racer Blues",1972,NULL
41909,"Blue Remains",2000,NULL
41910,"Blue Remembered Hills",1979,NULL
41911,"Blue Rhythm",1931,6.3
41912,"Blue Ribbon Babes",1986,NULL
41913,"Blue Ribbon Blue",1985,NULL
41914,"Blue Ribbon Mutt, A",1920,NULL
41915,"Blue Ridge Fall",1999,4.9
41916,"Blue Ridge Folks",1912,NULL
41917,"Blue River",1995,NULL
41918,"Blue Rodeo",1996,NULL
41919,"Blue Rondo",1998,NULL
41920,"Blue Rose, The",1913,NULL
41921,"Blue Rose, The",2004,NULL
41922,"Blue Saloon",1996,NULL
41923,"Blue Scar",1949,NULL
41925,"Blue Sextet, The",1971,NULL
41926,"Blue Shark Hash",2000,2.2
41927,"Blue Shirts",2000,NULL
41928,"Blue Shoe, The",1999,NULL
41929,"Blue Skies",1929,NULL
41930,"Blue Skies",1946,6.1
41931,"Blue Skies",2002,NULL
41932,"Blue Skies Again",1983,4.9
41933,"Blue Skies Are a Lie",1995,7.2
41934,"Blue Sky",1994,6.4
41935,"Blue Smoke",1935,NULL
41936,"Blue Snake",1986,NULL
41937,"Blue Squadron, The",1934,NULL
41938,"Blue Star",1999,NULL
41939,"Blue Steel",1934,5.3
41940,"Blue Steel",1990,5.2
41941,"Blue Stinger",1999,NULL
41942,"Blue Streak",1999,5.8
41943,"Blue Streak McCoy",1920,NULL
41944,"Blue Streak O'Neil",1926,NULL
41945,"Blue Streak, The",1917,NULL
41946,"Blue Streak, The",1926,NULL
41947,"Blue Suede Shoes",1980,NULL
41948,"Blue Suede Shoes: Ballet Rocks!",1997,NULL
41950,"Blue Summer Breeze, A",1979,NULL
41951,"Blue Sunday (1921/I)",1921,NULL
41952,"Blue Sunday (1921/II)",1921,NULL
41953,"Blue Sunshine",1976,5.7
41954,"Blue Swat: The Movie",1994,NULL
41955,"Blue Thunder",1983,5.9
41956,"Blue Thunder",1987,NULL
41957,"Blue Tiger",1994,4.7
41958,"Blue to Trancas",1988,NULL
41959,"Blue Tornado",1991,3.9
41960,"Blue Triangle",2000,NULL
41961,"Blue Turning Grey Over You",2000,NULL
41962,"Blue Valley Songbird",1999,NULL
41964,"Blue Vanguard: Revised",1957,NULL
41965,"Blue Vanities 121",1994,NULL
41966,"Blue Vanities 128",1990,NULL
41967,"Blue Vanities 16",1987,NULL
41968,"Blue Vanities 176",1994,NULL
41969,"Blue Vanities 192",1993,NULL
41970,"Blue Vanities 193",1994,NULL
41971,"Blue Vanities 29",1988,NULL
41972,"Blue Vanities 3",1988,NULL
41973,"Blue Vanities 34",1988,NULL
41974,"Blue Vanities 46",1988,NULL
41975,"Blue Vanities 47",1988,NULL
41976,"Blue Vanities 48",1988,NULL
41977,"Blue Vanities 536",1993,NULL
41978,"Blue Vanities 57",1988,NULL
41979,"Blue Vanities 61",1988,NULL
41980,"Blue Vanities 64",1988,NULL
41981,"Blue Vanities 67",1988,NULL
41982,"Blue Vanities 69",1988,NULL
41983,"Blue Vanities 71",1988,NULL
41984,"Blue Vanities 79",1988,NULL
41985,"Blue Vanities 86",1988,NULL
41986,"Blue Vanities 93",1988,NULL
41987,"Blue Veil, The",1951,6.4
41988,"Blue Velvet",1986,7.7
41989,"Blue Vengeance",1992,2.5
41990,"Blue Venice: Red Hotel",1991,NULL
41991,"Blue Vinyl",2002,6.2
41992,"Blue Voodoo",1977,NULL
41993,"Blue Voodoo",1982,NULL
41994,"Blue Water",1924,NULL
41995,"Blue Water Hunting",1993,NULL
41996,"Blue Water, White Death",1971,6.2
41997,"Blue Wing's Revenge",1924,NULL
41998,"Blue Yonder, The",1985,NULL
41999,"Blue yster Cult",1982,NULL
42000,"Blue yster Cult: Live 1976",1976,NULL
42001,"Blue's 1, 2, 3 Activities",1999,NULL
42002,"Blue's ABC Time",1998,NULL
42003,"Blue's Big Band",2003,NULL
42004,"Blue's Big Birthday",1998,NULL
42005,"Blue's Big Musical Movie",2000,NULL
42006,"Blue's Big News: The Baby's Here!",2001,NULL
42007,"Blue's Big Treasure Hunt",1999,NULL
42008,"Blue's Birthday",1998,NULL
42009,"Blue's Birthday Adventure",1998,NULL
42010,"Blue's Clues: Meet Joe!",2002,NULL
42011,"Blue's Treasure Hunt",1999,NULL
42012,"Blue's Velvet",1979,NULL
42013,"Blue, White and Perfect",1942,NULL
42014,"Blue-Eyed Mary",1918,NULL
42016,"Blue-Jacket's Honor, A",1922,NULL
42017,"Blue: A Year in the Life of",2002,NULL
42018,Bluebeard,1909,NULL
42019,Bluebeard,1944,6.4
42020,Bluebeard,1972,3.9
42021,"Bluebeard's Brother",1932,NULL
42022,"Bluebeard's Eighth Wife",1923,NULL
42023,"Bluebeard's Eighth Wife",1938,6.9
42024,"Bluebeard's Seven Wives",1926,NULL
42025,"Bluebeard's Ten Honeymoons",1960,5.4
42026,"Bluebeard's Treasure",1962,NULL
42027,"Bluebeard, Jr.",1922,NULL
42028,"Bluebeard, the Second",1914,NULL
42029,Blueberry,2001,5
42030,Blueberry,2004,5.3
42031,"Blueberry Hill",1988,2.9
42032,"Blueberry Hill",1989,5.7
42033,"Blueberry Muffins",2003,NULL
42034,Bluebird,2004,NULL
42035,"Bluebirds' Baby",1938,NULL
42036,Bluefish,2003,NULL
42037,Bluegaroo,2003,NULL
42042,Bluehair,2001,NULL
42043,"Bluejackets Scrubbing Their Hammocks",1903,NULL
42044,Bluelove,1999,4.9
42045,"Bluenose Schooner",1943,NULL
42046,Blueprint,1993,NULL
42047,Blueprint,2003,5.7
42049,"Blueprint for Murder, A",1953,6.6
42050,"Blueprint for Robbery",1961,NULL
42051,Blues,1931,NULL
42052,"Blues (1990/I)",1990,NULL
42054,"Blues Accordin' to Lightin' Hopkins, The",1970,7.2
42055,"Blues Brothers 2000",1998,4.4
42056,"Blues Brothers, The",1980,7.7
42057,"Blues Busters",1950,6.3
42058,"Blues de Balfa, Les",1983,NULL
42060,"Blues della domenica sera, Il",1951,NULL
42061,"Blues du lendemain, Le",1998,NULL
42062,"Blues entre les dents, Le",1973,NULL
42063,"Blues for Red",1999,NULL
42064,"Blues for the Avatar",1996,NULL
42066,"Blues Highway",1994,NULL
42067,"Blues Highway",1996,NULL
42068,"Blues in the Night",1941,6
42069,"Blues Is Alive and Well and Living in Chicago, The",1970,NULL
42070,"Blues Lahofesh Hagadol",1987,7.7
42071,"Blues Like Showers of Rain",1970,NULL
42072,"Blues Masters",1999,NULL
42073,"Blues metropolitano",1985,NULL
42074,"Blues mrtvho muze",2000,NULL
42075,"Blues Odyssey",2001,NULL
42076,"Blues pro EFB",1980,NULL
42077,"Blues Stop",2003,NULL
42078,"Blues voor een bloem",1958,NULL
42079,"Blues za Saro",1998,NULL
42080,"Blues's Clues: ABC's and 123's",1999,NULL
42081,"Blues, Black & White",1987,NULL
42082,"Blues, blanc, rouge",1975,NULL
42083,"Blues, El",1981,NULL
42084,"Blues, em Questo",1978,NULL
42085,"Blues, The",1966,NULL
42087,"Blues, The",2003,NULL
42088,"Bluesland: A Portrait In American Music",1993,NULL
42089,Bluesman,2005,NULL
42090,"Bluetoes, the Christmas Elf",1988,NULL
42092,Bluff,1916,NULL
42093,Bluff,1921,NULL
42094,Bluff,1924,NULL
42095,Bluff,1971,NULL
42096,Bluff,1982,NULL
42097,"Bluff from a Tenderfoot, A",1899,NULL
42098,"Bluff Master",1963,NULL
42099,"Bluff Stop",1977,NULL
42100,"Bluff storia di truffe e di imbroglioni",1976,5.2
42101,"Bluffer, The",1919,NULL
42102,"Bluffer, The",1930,NULL
42103,"Bluffers, The",1915,NULL
42104,"Bluffeur, Le",1932,NULL
42105,"Bluffeur, Le",1963,NULL
42106,"Bluffing Bluffers",1924,NULL
42107,"Bluffing Father",1917,NULL
42108,"Bluffing It",1987,NULL
42109,Blum,1970,NULL
42110,Blumau,1990,NULL
42111,"Blume der Hausfrau, Die",1999,6.3
42112,"Blume in Love",1973,6.1
42113,"Blume von Hawaii, Die",1933,NULL
42114,"Blume von Hawaii, Die",1953,7.4
42115,"Blume, campen de Europa",1958,NULL
42116,"Blumen aus Nizza",1936,NULL
42117,"Blumen fr den Mann im Mond",1975,NULL
42118,"Blumen fr Polt",2001,NULL
42119,"Blumen fr Zimmer 19",1965,NULL
42120,"Blumen lgen nicht",2000,NULL
42121,"Blumenfrau vom Potsdamer Platz, Die",1925,NULL
42122,"Blumenfrau von Lindenau, Die",1931,NULL
42123,"Blumenmdchen vom Grand-Hotel, Das",1933,NULL
42124,"Blunder Below",1942,NULL
42125,"Blunder Boys",1955,5.3
42126,"Blunder Down Under",1963,NULL
42127,"Blunderer's Mark, The",1914,NULL
42128,"Blunderful Time, A",1950,NULL
42129,"Blundering Blacksmiths, The",1917,NULL
42130,"Blunderland of Big Game, The",1925,NULL
42131,"Blunders of Mr. Butterbun: Trips and Tribunals, The",1918,NULL
42132,"Blunders of Mr. Butterbun: Unexpected Treasure, The",1918,NULL
42133,Blunt,1985,NULL
42134,Blunt,1998,NULL
42135,"Blunt Force",1999,NULL
42136,"Blunt Instrument",1980,NULL
42137,Blur,2000,NULL
42138,"Blur and Blank via Checkheaton",1972,NULL
42139,"Blur of Insanity, The",1999,6.7
42140,"Blur: Live 13",1999,NULL
42141,Blurred,2002,4.3
42142,Blus,1993,NULL
42143,"Blusenknig, Der",1917,NULL
42144,Blush,2000,7.1
42146,"Blushing Bottoms",1992,NULL
42147,"Blushing Bride",1993,NULL
42148,"Blushing Bride, The",1921,NULL
42149,Bluszcz,1983,NULL
42150,"Blut an den Lippen der Liebenden, Das",1978,NULL
42151,"Blut an der Wiege",1994,NULL
42152,"Blut der Ahnen, Das",1920,NULL
42153,"Blut der Templer, Das",2004,NULL
42154,"Blut in der Spur",1979,NULL
42155,"Blut und Boden",1992,NULL
42156,"Blut und Ehre: Jugend unter Hitler",1982,NULL
42157,"Blut und Feuer",1993,NULL
42158,"Blut wird flieen",1982,NULL
42159,"Blut, Das",1921,NULL
42160,"Blutendes Deutschland",1932,NULL
42161,"Blutgeld, Das",1913,NULL
42162,"Blutige Exzesse im Fhrerbunker",1984,3
42163,"Blutige Rache (1997/I)",1997,NULL
42164,"Blutige Scheidung",1997,NULL
42165,"Blutige Spur",1995,NULL
42166,"Blutigen Geier von Alaska, Die",1973,3.1
42167,"Blutiger Ernst",1998,NULL
42168,"Blutiger Ernst",2000,NULL
42169,"Blutiger Freitag",1972,5.8
42170,"Blutjung und liebeshungrig",1972,3.1
42171,"Blutjunge Liebe - und keiner darf es wissen",1998,NULL
42177,Blutrausch,1997,6.4
42178,Blutrausch,1999,NULL
42179,"Blutritter, Die",2004,NULL
42180,Blutsbrder,1935,NULL
42181,Blutsbrder,1975,4.6
42182,Blutsbrder,1995,NULL
42183,Blutsbrderschaft,1941,NULL
42184,"Blutspur in den Osten",1995,NULL
42185,"Bluzhdayushchiye zvyozdy",1928,NULL
42186,"Bluzhdayushchiye zvyozdy",1991,NULL
42187,Bluzi,1994,NULL
42188,BLVD.,1995,NULL
42189,"Blyg och ensam",1958,NULL
42190,"Blyge Anton",1940,NULL
42191,"Blha a Vrchlick",1991,NULL
42192,"Blhov devce",1938,NULL
42193,"Blhov sen",1943,NULL
42194,Bltoslap,1989,NULL
42195,"Blzinec v prvnm poschod",1969,NULL
42196,"Blzni, vodnci a podvodnci",1980,NULL
42197,"Blznova kronika",1964,8.2
42198,"Bltter im Winde",1958,NULL
42199,"Bl billede, Det",1967,NULL
42200,"Bl himmel",1955,NULL
42201,"Bl munk, Den",1998,3.6
42202,"Bl mndag",2001,NULL
42203,"Bl ulvene, De",1993,4.6
42204,"Bl undulater, De",1965,NULL
42205,"Bl vidunder, Det",1914,NULL
42206,Bldrar,1998,5.7
42207,"Bldrar - om krleken till ett fotbollslag",1999,7.1
42208,Bljackor,1945,4.8
42209,Bljackor,1964,3
42210,"Blnande hav",1956,NULL
42211,Blsningen,1997,NULL
42212,Blndvrk,1955,7.4
42213,"Bl en herbe, Le",1954,7.5
42214,"Bl en herbe, Le",1990,NULL
42215,"Blzke dialavy",1979,NULL
42216,Bldaren,1983,3
42217,"Bld i bolden",1988,NULL
42218,Blcher,1988,5.5
42219,"Blhende Trume",1959,NULL
42220,Bltenzauber,1999,NULL
42221,"BMW Vermelho",2000,8.5
42222,"BMX Bandits",1983,4.3
42223,"BMX XXX",2002,NULL
42224,BnE,1999,NULL
42225,"BNN: K.R.S.T.M.S",1995,NULL
42226,"Bo ai",1942,NULL
42227,"Bo Ba Bu",1998,6.3
42228,"Bo Derek: The E! True Hollywood Story",1999,NULL
42229,"Bo Diddley's Back in Town",1972,NULL
42230,"Bo Diddley: I Don't Sound Like Nobody",1987,NULL
42231,"Bo fung hon ji",1988,NULL
42232,"Bo hao",1991,6
42233,"Bo Knows Bo",1991,5.3
42234,"Bo Lan jie da shao",1993,NULL
42235,"Bo li qiang de ai",1995,NULL
42236,"Bo ming",1978,6.5
42237,"Bo ming chan dao duo ming chuang",1979,8.3
42238,"Bo ming hong yan",1963,NULL
42239,"Bo Nefotzetz Million",1977,NULL
42240,"Bo Nikre Leruah",1994,NULL
42241,"Bo no kanashimi",1994,NULL
42242,"Bo oszalalem dla niej",1980,NULL
42243,"Bo sai xi yang qing",1977,NULL
42244,"Bo sau",1970,6.7
42245,"Bo sha",1987,NULL
42246,"Bo si mao",1968,NULL
42247,"Bo taoshi",2003,NULL
42248,"Bo yin wang zi",1966,NULL
42249,"Bo za",1980,NULL
42250,"Bo zhong qing ren",1994,NULL
42251,"Bo's Guest",1927,NULL
42252,"Bo'Sun's Watch, The",1911,NULL
42253,Bo-dacious,1989,NULL
42254,Boa,1990,NULL
42255,"Boa Constrictor",1967,NULL
42256,"Boa Friend, The",1973,NULL
42257,"Boa vs. Python",2004,NULL
42258,"Boa: Mainly Bound Outside",1992,NULL
42259,Boadicea,1928,NULL
42260,Board,2001,7.8
